"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"Melissococcus",0.0500619772669284,1,0.666666666666667,-2.47212850227473,1.39386583054311,1,-4.82028156560504,1e-06,1.28501587158367
"X.Methanosarcinaceae.",0.0501850437539528,1,0.888888888888889,-0.68966891618362,1e-06,0.75,-3.65799541712606,1.6324536007848,1.14887482905166
"Riemerella",0.05023553105812,1,0.666666666666667,-1.59871218776274,0.413605910196354,0.75,-3.34139717196624,0.534081391882466,0.753584538381741
"Oscillatoria",0.0503088871920985,1,0.555555555555556,-2.16028625732168,0.62884789800305,0.5,-3.52805656329327,0.925018634349359,0.815528542885095
"X.Clostridiales_Family_XIII._Incertae_Sedis.",0.0510499022687061,1,0.444444444444444,-3.76016408490771,1.12165630776096,1,-4.82028156560504,1e-06,1.15523892964055
"Solitalea",0.051249280634406,1,0.222222222222222,-2.95215068689635,1.20474999662291,0.5,-1.62911981483604,0.52904136491013,1.012865435016
"Thalassolituus",0.0537002305730546,1,0.777777777777778,-4.61285971598785,0.485167382119324,0.75,-2.51295856329806,1.14763678377116,0.922001013428852
"Meiothermus",0.0538632790565407,1,0.444444444444444,-3.60573324612172,0.89140324889228,0.5,-2.37804773972244,0.460082627183965,0.765056625032306
"Yersinia",0.0553517119932342,1,0.222222222222222,-2.81347281762877,0.842871542536097,0.125,-1.7448535076017,1.10847398520738,0.965192324604399
"Danaus",0.0565964583812002,1,0.888888888888889,-0.558867564930071,1e-06,0.75,-3.52175503065683,1.82512660307255,1.22316491610153
"Cyanobacterium",0.0573153261062512,1,0.666666666666667,-4.645770689856,0.347768731974438,0.75,-2.97803067219029,0.489925499894322,0.74032062656959
"Niastella",0.0604139997582191,1,0.444444444444444,-0.351438763213296,0.482846874701083,0.625,0.850471356186077,0.497731326758168,0.64904767944369
"Pontibacter",0.0607052901073801,1,0.111111111111111,-1.32454906254205,0.937689707311887,0.25,-0.318570613473677,0.864724833730712,0.877984641681569
"Nitritalea",0.0635479727635275,1,0.888888888888889,-1.18540297259234,1e-06,0.75,-3.60104154948557,0.391144932282624,0.868756270014384
"X.Acetobacteraceae.",0.0635917131711973,1,0.444444444444444,-1.02139102944528,1.12191960771566,0.5,-2.45323957339656,1.1998168959854,1.13520119398174
"Devosia",0.065402594728634,1,0.333333333333333,-2.81619089730042,0.3642731814405,0.625,-1.6097354696199,1.16661456101677,0.736462761934082
"Serratia",0.0658380133504252,1,0.333333333333333,-1.81520344734538,1.18057058014758,0.125,-0.577296019219437,1.29320437010468,1.29909889576456
"Elizabethkingia",0.0661584050665369,1,0.666666666666667,-0.0858114424282109,0.23161625579118,0.625,-1.64294222857617,1.20517158421105,0.889889346119654
"Proteus",0.0667022836113141,1,0.555555555555556,-3.71461602837617,0.280910773261986,0.375,-2.58885375883476,0.852235866007728,0.720194152354474
